zinc_id	prot_id	smiles	net_charge	desolv_apol	desolv_pol	ph_mod_fk	true_logp	true_mwt	hba	hbd	num_aliphatic_rings	num_aromatic_rings	num_heavy_atoms	num_rotatable_bonds	chiral_centers	reactive	reactivity	tpsa	tranche_name	tranche_prefix	calalog
ZINC000002522750	15158891	C/C=C(\C)C(=O)NCC(=O)[O-]	-1	1.27	-46.66	0	-1.1813	156.161	3	1	0	0	11	3	[]	0	Anodyne	69	ACAARM	AC	hmdbendo
ZINC000008215878	42724328	Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](CO[P@@](=O)([O-])O[P@](=O)([O-])O)O2)c(=O)[nH]1	-2	-1.73	-140.67	1	-2.6875	425.187	13	4	1	2	27	6	[(8, 'R'), (10, 'S'), (12, 'R'), (15, 'R'), (19, 'R')]	0	Anodyne	237	IAAAML	IA	hmdbendo
ZINC000008215878	42724312	Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](CO[P@@](=O)([O-])O[P@@](=O)([O-])O)O2)c(=O)[nH]1	-2	-1.73	-140.67	1	-2.6875	425.187	13	4	1	2	27	6	[(8, 'R'), (10, 'S'), (12, 'R'), (15, 'R'), (19, 'S')]	0	Anodyne	237	IAAAML	IA	hmdbendo
ZINC000008215878	42724299	Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](CO[P@@](=O)([O-])OP(=O)([O-])[O-])O2)c(=O)[nH]1	-3	-1.11	-262.18	0	-3.3195	424.179	14	3	1	2	27	6	[(8, 'R'), (10, 'S'), (12, 'R'), (15, 'R')]	0	Anodyne	240	IAAARL	IA	hmdbendo
ZINC000012494625	32267877	CC(C)=CCC/C(C)=C/CC/C(C)=C/CO[P@@](=O)([O-])O[P@](=O)([O-])O	-2	9.09	-115.66	1	3.3679	380.314	6	1	0	0	24	11	[(16, 'R'), (20, 'R')]	0	Anodyne	118	GJAAML	GJ	hmdbendo
ZINC000012494625	32267876	CC(C)=CCC/C(C)=C/CC/C(C)=C/CO[P@@](=O)([O-])O[P@@](=O)([O-])O	-2	9.09	-115.66	1	3.3679	380.314	6	1	0	0	24	11	[(16, 'R'), (20, 'S')]	0	Anodyne	118	GJAAML	GJ	hmdbendo
ZINC000012494625	32267875	CC(C)=CCC/C(C)=C/CC/C(C)=C/CO[P@@](=O)([O-])OP(=O)([O-])[O-]	-3	10.22	-246.68	0	2.7359	379.306	7	0	0	0	24	11	[(16, 'R')]	0	Anodyne	121	GJAARL	GJ	hmdbendo
ZINC000001532582	16990619	NC(=O)CCCC[C@H]1CCSS1	0	4.48	-12.11	0	2.1858	205.348	3	1	1	0	12	5	[(7, 'S')]	50	Reactive	43	BEGARN	BE	hmdbendo
ZINC000001532583	16980909	NC(=O)CCCC[C@@H]1CCSS1	0	4.46	-14.41	0	2.1858	205.348	3	1	1	0	12	5	[(7, 'R')]	50	Reactive	43	BEGARN	BE	hmdbendo
ZINC000030725173	42674540	CSC[C@H]1O[C@H](OP(=O)([O-])[O-])[C@H](O)[C@@H]1O	-2	-2.2	-147.91	0	-2.3586	258.188	8	2	1	0	15	4	[(3, 'S'), (5, 'R'), (11, 'R'), (13, 'S')]	0	Anodyne	122	CAAFRL	CA	hmdbendo
ZINC000003995571	15113616	[NH3+]CCS(=O)[O-]	0	-3.84	-59.29	0	-1.8926	109.15	2	1	0	0	6	2	[(3, '?')]	0	Anodyne	67	ABAARN	AB	hmdbendo
