zinc_id	prot_id	smiles	net_charge	desolv_apol	desolv_pol	ph_mod_fk	true_logp	true_mwt	hba	hbd	num_aliphatic_rings	num_aromatic_rings	num_heavy_atoms	num_rotatable_bonds	chiral_centers	reactive	reactivity	tpsa	tranche_name	tranche_prefix	calalog
ZINC000005069800	63399153	CC(=O)c1cccc(NC(=O)C[C@@H]2Oc3ccc(C)cc3NC2=O)c1	0	6.25	-20.64	0	2.92592	338.363	4	2	1	2	25	4	[(12, 'S')]	0	Anodyne	84	EFAARN	EF	aggregators
ZINC000005069802	63399578	CC(=O)c1cccc(NC(=O)C[C@H]2Oc3ccc(C)cc3NC2=O)c1	0	6.23	-21.05	0	2.92592	338.363	4	2	1	2	25	4	[(12, 'R')]	0	Anodyne	84	EFAARN	EF	aggregators
ZINC000002862310	65738945	COc1ccc(NC(=O)NCCCN2CCCC2=O)cc1	0	3.98	-16.74	0	1.8292	291.351	3	2	1	1	21	6	[]	0	Anodyne	70	CDAARN	CD	aggregators
ZINC000005069832	68184592	Cc1ccc2c(c1)NC(=O)[C@H](CC(=O)N[C@@H]1CCCC[C@@H]1C)O2	0	6.95	-10.38	0	2.77952	316.401	3	2	2	1	23	3	[(10, 'S'), (15, 'R'), (20, 'S')]	0	Anodyne	67	DFAARN	DF	aggregators
ZINC000005069838	68183782	Cc1ccc2c(c1)NC(=O)[C@H](CC(=O)N[C@H]1CCCC[C@@H]1C)O2	0	6.56	-10.8	0	2.77952	316.401	3	2	2	1	23	3	[(10, 'S'), (15, 'S'), (20, 'S')]	0	Anodyne	67	DFAARN	DF	aggregators
ZINC000013132352	61723754	Cc1ccc2c(c1)NC(=O)[C@H](CC(=O)N[C@H]1CCCC[C@H]1C)O2	0	6.95	-10.3	0	2.77952	316.401	3	2	2	1	23	3	[(10, 'S'), (15, 'S'), (20, 'R')]	0	Anodyne	67	DFAARN	DF	aggregators
ZINC000013132353	61723793	Cc1ccc2c(c1)NC(=O)[C@H](CC(=O)N[C@@H]1CCCC[C@H]1C)O2	0	6.56	-10.86	0	2.77952	316.401	3	2	2	1	23	3	[(10, 'S'), (15, 'R'), (20, 'R')]	0	Anodyne	67	DFAARN	DF	aggregators
ZINC000020153969	27417419	CCN1CCN(Cc2ccc(NC(=O)Nc3ccccc3Cl)cc2)CC1	0	6.22	-6.73	3	4.1215	372.9	3	2	1	2	26	5	[]	0	Anodyne	47	FIAAHN	FI	aggregators
ZINC000020153969	27417417	CCN1CC[NH+](Cc2ccc(NC(=O)Nc3ccccc3Cl)cc2)CC1	1	8.71	-42.33	2	2.7044	373.908	2	3	1	2	26	5	[]	0	Anodyne	48	FIAALO	FI	aggregators
ZINC000020153969	27417415	CC[NH+]1CCN(Cc2ccc(NC(=O)Nc3ccccc3Cl)cc2)CC1	1	8.4	-39.8	0	2.7044	373.908	2	3	1	2	26	5	[]	0	Anodyne	48	FIAARO	FI	aggregators
ZINC000006577285	31596366	Cn1c(Cn2c(=O)sc3ccccc32)nnc1SCC(=O)Nc1ccc(Cl)cc1	0	9.93	-17.19	0	3.624	445.957	8	1	0	4	29	6	[]	0	Anodyne	81	IHAARN	IH	aggregators
ZINC000005058227	82790665	COc1cccc(-c2nc(C[S@@](=O)CC(=O)NC3CCCC3)c(C)o2)c1	0	3.78	-21.92	0	2.96612	376.478	5	1	1	2	26	7	[(11, 'S')]	0	Anodyne	81	GFAARN	GF	aggregators
ZINC000005058228	82791049	COc1cccc(-c2nc(C[S@](=O)CC(=O)NC3CCCC3)c(C)o2)c1	0	3.78	-29.31	0	2.96612	376.478	5	1	1	2	26	7	[(11, 'R')]	0	Anodyne	81	GFAARN	GF	aggregators
ZINC000005058231	77892691	CCCNC(=O)C[S@@](=O)Cc1nc(-c2cccc(OC)c2)oc1C	0	2.38	-29.64	0	2.43352	350.44	5	1	0	2	24	8	[(7, 'R')]	0	Anodyne	81	FEAARN	FE	aggregators
ZINC000005058232	77892991	CCCNC(=O)C[S@](=O)Cc1nc(-c2cccc(OC)c2)oc1C	0	2.38	-22	0	2.43352	350.44	5	1	0	2	24	8	[(7, 'S')]	0	Anodyne	81	FEAARN	FE	aggregators
ZINC000006578136	83019518	COc1ccccc1NC(=O)CSc1nnc(Cn2c3ccccc3sc2=O)n1C	0	9.3	-14.11	0	2.9792	441.538	9	1	0	4	30	7	[]	0	Anodyne	91	IFAARN	IF	aggregators
ZINC000006577112	83018924	COc1ccc(-c2nc(C[S@@](=O)CC(=O)NCc3cccnc3)c(C)o2)cc1OC	0	2.76	-23.44	0	2.62732	429.498	7	1	0	3	30	9	[(10, 'S')]	0	Anodyne	103	IFAARN	IF	aggregators
ZINC000006577113	83019320	COc1ccc(-c2nc(C[S@](=O)CC(=O)NCc3cccnc3)c(C)o2)cc1OC	0	2.76	-32.14	0	2.62732	429.498	7	1	0	3	30	9	[(10, 'R')]	0	Anodyne	103	IFAARN	IF	aggregators
ZINC000005058259	78223454	COc1ccc(-c2nc(C[S@@](=O)CC(=O)NCc3ccco3)c(C)o2)cc1OC	0	2.67	-23.21	0	2.82532	418.471	7	1	0	3	29	9	[(10, 'S')]	0	Anodyne	103	HFAARN	HF	aggregators
