zinc_id	supplier_code	substance.preferred_name	substance.smiles	substance.purchasable	substance.purchasability	substance.rb	substance.reactive	substance.features	calalog
ZINC000006577620	NCGC00085112-01	NA	COc1ccc(N(CC(=O)N2CCc3ccccc3C2)S(=O)(=O)c2c(C)[nH]c(=O)[nH]c2=O)cc1	50	Premier	6	0	set(['aggregator'])	aggregators
ZINC000001232025	NCGC00085113-01	NA	CN(C)c1oc(-c2ccccc2Cl)nc1S(=O)(=O)c1ccccc1	50	Premier	4	0	set(['aggregator'])	aggregators
ZINC000018175155	NCGC00085115-01	NA	COc1ccccc1NC(=O)N1CCN(c2ccccn2)CC1	50	Premier	3	0	set(['aggregator'])	aggregators
ZINC000000795587	NCGC00085117-01	NA	C=C(C)c1cccc(C(C)(C)NC(=O)N2CCN(c3ccccn3)CC2)c1	50	Premier	4	30	set(['aggregator'])	aggregators
ZINC000004935147	NCGC00085118-01	NA	CC[C@H](C)[C@@H](C(=O)Nc1ccc(OC)c(OC)c1)N1Cc2ccccc2C1=O	50	Premier	7	0	set(['aggregator'])	aggregators
ZINC000005190538	NCGC00085118-01	NA	CC[C@@H](C)[C@@H](C(=O)Nc1ccc(OC)c(OC)c1)N1Cc2ccccc2C1=O	50	Premier	7	0	set(['aggregator'])	aggregators
ZINC000005190552	NCGC00085118-01	NA	CC[C@@H](C)[C@H](C(=O)Nc1ccc(OC)c(OC)c1)N1Cc2ccccc2C1=O	1	Annotated	7	0	set(['aggregator'])	aggregators
ZINC000005190566	NCGC00085118-01	NA	CC[C@H](C)[C@H](C(=O)Nc1ccc(OC)c(OC)c1)N1Cc2ccccc2C1=O	1	Annotated	7	0	set(['aggregator'])	aggregators
ZINC000057407074	NCGC00085121-01	NA	O=C(Nc1ccc(F)cc1F)N1CCN(C/C=C/c2ccccc2)CC1	10	For-Sale	4	0	set(['aggregator'])	aggregators
ZINC000000470910	NCGC00085123-01	NA	C[C@H](O)Cc1nsc(NC(=O)c2cccs2)n1	50	Premier	4	0	set(['aggregator'])	aggregators
ZINC000000470911	NCGC00085123-01	NA	C[C@@H](O)Cc1nsc(NC(=O)c2cccs2)n1	50	Premier	4	0	set(['aggregator'])	aggregators
ZINC000000297203	NCGC00085125-01	NA	CCc1nccn1S(=O)(=O)c1ccc(OC)c(OC)c1	50	Premier	5	0	set(['aggregator'])	aggregators
ZINC000006577412	NCGC00085126-01	NA	Cn1c2ccc(S(=O)(=O)N[C@@H](Cc3ccccc3)C(=O)N3CCCCC3)cc2oc1=O	3	Bks	6	0	set(['aggregator'])	aggregators
ZINC000006577413	NCGC00085126-01	NA	Cn1c2ccc(S(=O)(=O)N[C@H](Cc3ccccc3)C(=O)N3CCCCC3)cc2oc1=O	3	Bks	6	0	set(['aggregator'])	aggregators
ZINC000002439828	NCGC00085127-01	NA	CCCCNC(=O)Cn1c2ccccc2n(C)c1=O	50	Premier	5	0	set(['aggregator'])	aggregators
ZINC000004938648	NCGC00085129-01	NA	Cn1c(C(=O)NC[C@@H]2CCCO2)cc2c1c1ccccc1n(C)c2=O	10	For-Sale	3	0	set(['aggregator'])	aggregators
ZINC000004938651	NCGC00085129-01	NA	Cn1c(C(=O)NC[C@H]2CCCO2)cc2c1c1ccccc1n(C)c2=O	10	For-Sale	3	0	set(['aggregator'])	aggregators
ZINC000013132236	NCGC00085130-01	NA	COc1ccc([C@@H]2C[C@@H](c3ccc(F)cc3)Nc3nc(N)nn32)cc1	50	Premier	3	0	set(['aggregator'])	aggregators
ZINC000013132237	NCGC00085130-01	NA	COc1ccc([C@H]2C[C@@H](c3ccc(F)cc3)Nc3nc(N)nn32)cc1	50	Premier	3	0	set(['aggregator'])	aggregators
ZINC000013132239	NCGC00085130-01	NA	COc1ccc([C@@H]2C[C@H](c3ccc(F)cc3)Nc3nc(N)nn32)cc1	50	Premier	3	0	set(['aggregator'])	aggregators
ZINC000013132241	NCGC00085130-01	NA	COc1ccc([C@H]2C[C@H](c3ccc(F)cc3)Nc3nc(N)nn32)cc1	50	Premier	3	0	set(['aggregator'])	aggregators
ZINC000004938660	NCGC00085131-01	NA	COCCNC(=O)c1cc2c(c3ccccc3n(C)c2=O)n1C	50	Premier	4	0	set(['aggregator'])	aggregators
ZINC000004938677	NCGC00085135-01	NA	COCCCNC(=O)c1cc2c(c3ccccc3n(C)c2=O)n1C	50	Premier	5	0	set(['aggregator'])	aggregators
ZINC000013131957	NCGC00085140-01	NA	COc1cccc([C@@H]2C[C@@H](c3ccccc3)Nc3nc(N)nn32)c1	50	Premier	3	0	set(['aggregator'])	aggregators
ZINC000013131959	NCGC00085140-01	NA	COc1cccc([C@H]2C[C@@H](c3ccccc3)Nc3nc(N)nn32)c1	50	Premier	3	0	set(['aggregator'])	aggregators
ZINC000013131961	NCGC00085140-01	NA	COc1cccc([C@@H]2C[C@H](c3ccccc3)Nc3nc(N)nn32)c1	50	Premier	3	0	set(['aggregator'])	aggregators
ZINC000013131962	NCGC00085140-01	NA	COc1cccc([C@H]2C[C@H](c3ccccc3)Nc3nc(N)nn32)c1	50	Premier	3	0	set(['aggregator'])	aggregators
ZINC000004938692	NCGC00085141-01	NA	CCN1CCC[C@@H]1CNC(=O)c1cc2c(c3ccccc3n(C)c2=O)n1C	50	Premier	4	0	set(['aggregator'])	aggregators
ZINC000004938696	NCGC00085141-01	NA	CCN1CCC[C@H]1CNC(=O)c1cc2c(c3ccccc3n(C)c2=O)n1C	50	Premier	4	0	set(['aggregator'])	aggregators
ZINC000013131845	NCGC00085142-01	NA	COc1cccc([C@@H]2C[C@@H](c3ccc(F)cc3)Nc3nc(N)nn32)c1	50	Premier	3	0	set(['aggregator'])	aggregators
ZINC000013131846	NCGC00085142-01	NA	COc1cccc([C@H]2C[C@@H](c3ccc(F)cc3)Nc3nc(N)nn32)c1	50	Premier	3	0	set(['aggregator'])	aggregators
ZINC000013131848	NCGC00085142-01	NA	COc1cccc([C@@H]2C[C@H](c3ccc(F)cc3)Nc3nc(N)nn32)c1	50	Premier	3	0	set(['aggregator'])	aggregators
